id,code,prefix,start,end,label
HB535-551,HB535-551,HB,535.0,551.0,Interest
HB601,HB601,HB,601.0,601.0,Profit
HB615-715,HB615-715,HB,615.0,715.0,Entrepreneurship. Risk and uncertainty. Property
HB801-843,HB801-843,HB,801.0,843.0,Consumption. Demand
HB846-846.8,HB846-846.8,HB,846.0,846.8,Welfare theory
HB848-3697,HB848-3697,HB,848.0,3697.0,Demography. Population. Vital events
HB3711-3840,HB3711-3840,HB,3711.0,3840.0,Business cycles. Economic fluctuations
HC10-1085,HC10-1085,HC,10.0,1085.0,Economic history and conditions
HC79,HC79,HC,79.0,79.0,"Special topics Including air pollution, automation, consumer demand, famines, flow of funds, etc."
HC92,HC92,HC,92.0,92.0,Economic geography of the oceans (General)
HC94-1085,HC94-1085,HC,94.0,1085.0,By region or country
J1-981,J1-981,J,1.0,981.0,General legislative and executive papers
J1-9,J1-9,J,1.0,9.0,Gazettes The Library of Congress now classes this material in K
