pleiades_id,place_label,place_type,min_date,max_date,geonames_id,geonames_label,geonames_feature_code,wikidata_qid,wikidata_label,wikidata_latitude,wikidata_longitude,tgn_id,tgn_label,tgn_latitude,tgn_longitude,has_wikidata_match,has_tgn_match,has_temporal_signal,is_fully_triangulated,is_full_chain_wikidata_tgn
109128,Lyons-la-Forêt,"settlement, settlement-modern, theatre",-30,2100,2996938,,PPL,Q115476,Lyons-la-Forêt,49.399444444444,1.4761111111111,,,,,true,false,true,true,false
109128,Lyons-la-Forêt,"settlement, settlement-modern, theatre",-30,2100,6430470,,ADM4,,,,,,,,,false,false,true,false,false
109146,Martelange,settlement,-30,2100,2791642,,PPL,Q21765733,Martelange,49.831247222222,5.7371277777778,,,,,true,false,true,true,false
109146,Martelange,settlement,-30,2100,2791643,,ADM4,Q713498,Martelange,49.831111111111,5.7372222222222,,,,,true,false,true,true,false
109147,Matrona (river),river,-330,2100,2995605,,STM,Q41983,Marne,48.816388888889,2.4108333333333,,,,,true,false,true,true,false
109148,Maubeuge,villa,-30,2100,2995150,,PPL,Q138648,Maubeuge,50.276944444444,3.9725,,,,,true,false,true,true,false
109148,Maubeuge,villa,-30,2100,6454416,,ADM4,,,,,,,,,false,false,true,false,false
109153,Mediolanum Aulercorum,settlement,-30,2100,3019264,,ADM3,Q702864,arrondissement of Évreux,49.02548,1.14271,,,,,true,false,true,true,false
109153,Mediolanum Aulercorum,settlement,-30,2100,3019265,,PPLA2,Q171800,Évreux,49.023333333333,1.1525,,,,,true,false,true,true,false
109153,Mediolanum Aulercorum,settlement,-30,2100,6453890,,ADM4,,,,,,,,,false,false,true,false,false
109158,Unnamed settlement at Sampuy,"settlement, forest",-30,2100,2994331,,PPL,,,,,,,,,false,false,true,false,false
