qid,qid_label,group,property_pid,property_label,statement_index,rank,value_qid,value_label,value_literal,periodo_ids
Q114877817,Uruk V Period,temporal,P9350,PeriodO period ID,0,normal,,7ffbf4k4d,7ffbf4k4d,7ffbf4k4d
Q114877817,Uruk V Period,temporal,P580,start time,0,normal,,time=-3500-00-00T00:00:00Z;precision=9,time=-3500-00-00T00:00:00Z;precision=9,7ffbf4k4d
Q114877817,Uruk V Period,temporal,P582,end time,0,normal,,time=-3350-00-00T00:00:00Z;precision=9,time=-3350-00-00T00:00:00Z;precision=9,7ffbf4k4d
Q114877817,Uruk V Period,hierarchy,P156,followed by,0,normal,Q114877809,Uruk IV Period,,7ffbf4k4d
Q114877817,Uruk V Period,hierarchy,P155,follows,0,normal,Q114877825,Pre-Writing Period,,7ffbf4k4d
Q117326694,"Ṣafavid dynasty, 1501-1736",hierarchy,P31,instance of,0,normal,Q11514315,historical period,,6c6g35q9w
Q117326694,"Ṣafavid dynasty, 1501-1736",hierarchy,P361,part of,0,normal,Q28926,history of Iran,,6c6g35q9w
Q117326694,"Ṣafavid dynasty, 1501-1736",hierarchy,P361,part of,1,normal,Q83311,Persian Empire,,6c6g35q9w
Q117326694,"Ṣafavid dynasty, 1501-1736",geographical,P17,country,0,normal,Q794,Iran,,6c6g35q9w
Q117326694,"Ṣafavid dynasty, 1501-1736",geographical,P17,country,1,normal,Q83311,Persian Empire,,6c6g35q9w
Q117326694,"Ṣafavid dynasty, 1501-1736",geographical,P17,country,2,normal,Q18234383,Safavid Iran,,6c6g35q9w
Q117326694,"Ṣafavid dynasty, 1501-1736",temporal,P9350,PeriodO period ID,0,normal,,6c6g35q9w,6c6g35q9w,6c6g35q9w
Q117326694,"Ṣafavid dynasty, 1501-1736",temporal,P580,start time,0,normal,,time=+1501-00-00T00:00:00Z;precision=9,time=+1501-00-00T00:00:00Z;precision=9,6c6g35q9w
Q117326694,"Ṣafavid dynasty, 1501-1736",temporal,P582,end time,0,normal,,time=+1736-00-00T00:00:00Z;precision=9,time=+1736-00-00T00:00:00Z;precision=9,6c6g35q9w
Q1196237,Proto-Elamite period,temporal,P571,inception,0,normal,,time=-3100-00-00T00:00:00Z;precision=9,time=-3100-00-00T00:00:00Z;precision=9,7ffbfn97j
Q1196237,Proto-Elamite period,temporal,P582,end time,0,normal,,time=-2700-00-00T00:00:00Z;precision=9,time=-2700-00-00T00:00:00Z;precision=9,7ffbfn97j
Q1196237,Proto-Elamite period,geographical,P276,location,0,normal,Q128904,Elam,,7ffbfn97j
